country,id,un_region_name,global_index_score_2019,index_to_be_defined,inverse_global_index_2019,mjc_criteria_sdr_mild_version,mjc_criteria_sdr_medium_version,mjc_criteria_sdr_heavy_version,mjc_criteria_sdr_ponderated,mjc_criteria_equality,mjc_criteria_capacity,mjc_criteria_historical_responsability,mjc_criteria_present_responsability,mjc_criteria_ponderated,population_2019,gdp_per_capita_ppp_2017,cum_emissions_per_capita_1994_2017,emissions_per_cap_2017,poverty_ratio_320,undernourishment_prevalence,stunting_prevalence_under_5_yrs,wasting_prevalence_in_children_under_5,maternal_mortality_rate_per_100k_births,neonatal_mortality_rate_1k_births,under_5_mortality_rate_1k_births,life_expec_at_birth_yrs,univ_health_coverage_index,net_primary_enrolment_rate,lower_secondary_completion_rate,literacy_rate_15_24_yrs_both_sexes,ratio_female_to_male_labour_force_rate,population_rate_using_basic_drinking_water_services,population_rate_using_basic_sanitation_services,access_to_electricity_pop_rate,access_to_clean_fuels_and_tech_for_cooking_rate,unemployment_rate,population_using_the_internet
Lao PDR,LAO,Asia,62.02906674,37.97093326,0.502544131,0.103097019,0.111582769,0.163511426,0.126063738,0.092108719,0.437597637,0.8338413,0.751313562,0.362086881,7064242,6397.359825,1.777038104,1.93934466,39.06,16.6,43.8,6.4,197,28.2,63.4,65.8,53.022,93.34074,69.65831,92.46264,96.41743112,80.44735551,72.59428683,87.09577179,5.62,0.680999994,25.51043508
Myanmar,MMR,Asia,62.17853354,37.82146646,0.499304896,0.789871417,0.852730804,0.581144793,0.741249005,0.708474041,0.498873392,0.762040406,0.609006099,0.658529923,54336138,5611.583198,1.944474007,2.392514536,18.12,10.5,29.2,7,178,24.1,48.6,66.8,58.385,97.7122,60.60242,84.75116,64.21191977,67.53664134,64.69647377,57.00938416,18.4,0.801999986,30.67818311
Belize,BLZ,LAC,62.54881785,37.45118215,0.491280119,0.005617157,0.006025711,0.005524086,0.005722318,0.005088115,0.361277043,0.518335347,0.494424694,0.219616874,390231,7748.816588,2.858704833,2.946972434,24.22,6.5,15,1.8,28,8.8,14.2,70.5,66.126,96.10654,66.92298,,66.01737759,97.12880364,87.1572023,92.21431732,85.43,9.248000145,47.0826258
"Venezuela, RB",VEN,LAC,63.05439028,36.94560972,0.480323386,0.465478157,0.494878165,0.897954012,0.619436778,0.427407733,0,0.151061176,0.187302359,0.30400657,32779868,,9.809057496,7.779164944,47.51,11.7,13.4,4.1,95,19.8,30.9,74.1,70.912,83.99457,71.87503,98.75951,65.1575287,97.41722394,94.93438957,99.60383606,96.16,7.882999897,64.31336383
Honduras,HND,LAC,63.41418905,36.58581095,0.47252585,0.134553298,0.142113497,0.169966808,0.148877868,0.124763506,0.616379512,0.747052163,0.693637499,0.402591429,9568688,4541.795257,1.983486343,2.100601462,31.11,15.3,22.7,1.4,129,10,18.2,75.2,62.708,83.32061,47.45225,96.12654,59.46895963,92.17872102,79.77644697,87.57662964,53.1,4.379000187,32.13636364
Kuwait,KWT,Asia,63.511739,36.488261,0.470411754,0.059589056,0.062823134,,0.061206095,0.05540121,0.042720077,0.037815745,0.047992192,0.050557838,4248974,65530.53658,39.18388382,30.3602705,,2.5,4.9,3.1,4,4.3,8.1,74.8,84.806,87.30606,90.35414,99.24358,56.03871814,100,100,100,100,2.059999943,97.99998933
Mauritius,MUS,Africa,63.58915857,36.41084143,0.468733922,0.017792266,0.018730744,0.000946395,0.012489801,0.01657702,0.13776666,0.330205978,0.216915024,0.110098495,1271368,20320.3703,4.487404412,6.717173942,1.31,5.8,,,53,7.9,13.1,74.8,71.651,95.8075,84.16777,98.13035,62.38232357,99.86522415,93.14913303,98.78178406,93.34,7.054999828,55.55669841
Ghana,GHA,Africa,63.80165878,36.19834122,0.464128632,0.418736397,0.439054564,0.416218984,0.424669982,0.39242616,0.684147881,1.582285626,1.332916993,0.739711333,30096970,4091.907058,0.936472997,1.093133295,24.48,6.1,18.8,4.7,319,24.2,49.3,63.4,57.072,83.58567,74.65355,85.71615,94.40322394,77.79930236,14.27950593,79.3,21.71,2.431999922,37.88415262
Nepal,NPL,Asia,63.93470398,36.06529602,0.461245285,0.415049443,0.43408059,0.568441708,0.472523914,0.390405783,1.139695944,1.152350503,1.041221846,0.774852954,29942018,2456.33018,1.285865506,1.399371278,33.73,9.5,35.8,9.7,258,20.7,33.7,70.2,59.035,94.69564,89.36779,84.75715,96.42707743,87.74666809,46.1265906,90.7,27.62,2.690000057,21.40351043
Indonesia,IDN,Asia,64.19349116,35.80650884,0.455636866,3.709443853,3.860057476,3.565141889,3.711547739,3.514412465,0.250204093,0.51848744,0.44176573,1.98907272,269536482,11188.74402,2.857866262,3.298254817,23.67,7.7,36.4,13.5,126,12.4,25.4,69.3,61.768,91.91315,90.38364,99.66881,62.09794337,89.52403041,67.88660816,97.62,58.37,4.321000099,32.2924419
Turkmenistan,TKM,Asia,64.25774762,35.74225238,0.454244304,0.081636586,0.084843876,0.001425355,0.055968605,0.077483427,0.17081369,0.100153062,0.080172628,0.098607142,5942561,16389.02331,14.79503208,18.17398256,0.43,5.5,11.5,4.2,42,21.3,47.3,68.2,68.151,,,99.8,68.11077045,94.45457734,96.56707336,100,99.32,3.335000038,21.25099741
Mongolia,MNG,Asia,64.69385864,35.30614136,0.444792934,0.042965899,0.044264913,0.00755408,0.031594964,0.041283789,0.237909443,0.14328806,0.100949555,0.108226751,3166244,11766.95432,10.34118103,14.43350544,4.33,18.7,10.8,1,44,9.1,17.2,69.8,65.653,97.87676,106.60714,98.46025,79.64826698,83.21989314,59.2215303,81.77503204,42.8,6.653999805,23.71426517
Gabon,GAB,Africa,64.76491309,35.23508691,0.443253047,0.028562853,0.029383671,0.014694268,0.024213597,0.027499965,0.170037136,0.13913249,0.312304394,0.111867285,2109099,16463.87137,10.65004844,4.665499344,12.67,9.4,17.5,3.4,291,21.5,48.3,66.4,55.973,,,88.50414,72.53235201,87.54092199,40.93038599,91.39550018,79.12,19.45700073,50.32012015
Saudi Arabia,SAU,Asia,64.83798684,35.16201316,0.441669397,0.461397181,0.473943538,,0.46767036,0.445150754,0.05714888,0.079180477,0.073696081,0.261602068,34140662,48985.55382,18.7138018,19.77114562,,5.5,9.3,11.8,12,3.9,7.4,74.8,77.814,97.3903,116.11941,99.22177,27.98379215,99.99289263,100,100,95.96,5.422999859,82.12
Philippines,PHL,Asia,64.93638894,35.06361106,0.439536833,1.45692418,1.493494675,1.391966033,1.447461629,1.409568607,0.368390612,0.784831785,0.687846907,0.990440049,108106310,7599.18806,1.88800682,2.118285232,23.53,13.7,33.4,7.1,114,13.6,28.1,69.3,57.88,94.9618,85.67553,98.10835,66.25564329,90.5029776,74.9769045,90.98161316,43.22,1.881000042,60.05476033
Cabo Verde,CPV,Africa,65.05090482,34.94909518,0.437055053,0.007527033,0.007697543,0.010923155,0.00871591,0.007306237,0.445551009,1.062868857,0.770245134,0.344532538,560349,6283.162846,1.39412097,1.891678222,35.74,12.3,,,42,10.4,17.4,73.2,68.25,86.20393,74.32059,98.11131,69.81374615,86.45935273,65.20696389,92.61158752,71.05,10.35000038,57.16214635
Sao Tome and Principe,STP,Africa,65.48414012,34.51585988,0.427666006,0.002830738,0.002868229,0.005812492,0.003837153,0.00278219,0.917042926,1.666204906,1.36962617,0.610394452,213379,3052.713743,0.889307046,1.063834773,50.57,10.2,17.2,4,156,14.4,32.4,68.7,58.6,96.07663,74.22492,96.7384,54.79122473,79.69705854,40.10276968,65.44048309,16.81,13.5,29.9312292
